$ /workspace/venvs/rwkv7-5090/bin/python bench/bench_logit_compression_alignment.py --dataset /workspace/datasets/math500/MATH500.jsonl --tokenizer-dir /workspace/models/rwkv7_g1g_15b_hf --candidate-kind hf --candidate-hf-dir /workspace/models/rwkv7_g1g_15b_hf --candidate-dtype fp16 --candidate-quantization none --candidate-quant-policy speed --candidate-quant-min-params 8000000 --reference-kind hf --limit 500 --max-tokens-per-text 1024 --device cuda --progress-every 25 --out-json /workspace/projects/rwkv7-hf-adapter-final-bench/bench/math500_final_acceptance_5090_1p5b_20260705/compression_alignment/compression_alignment.json --out-md /workspace/projects/rwkv7-hf-adapter-final-bench/bench/math500_final_acceptance_5090_1p5b_20260705/compression_alignment/compression_alignment.md --add-bos --reference-hf-dir /workspace/models/rwkv7_g1g_15b_hf --reference-dtype fp16 --reference-quantization none --reference-quant-policy speed --reference-quant-min-params 8000000
compression benchmark texts=500 device=cuda
`torch_dtype` is deprecated! Use `dtype` instead!
compression score hf:rwkv7_g1g_15b_hf:none texts=325/500 tokens=29313 bits_per_token=1.742072 elapsed_s=462.148
compression score hf:rwkv7_g1g_15b_hf:none texts=350/500 tokens=30827 bits_per_token=1.749294 elapsed_s=486.135
compression score hf:rwkv7_g1g_15b_hf:none texts=375/500 tokens=33164 bits_per_token=1.738617 elapsed_s=523.104
compression score hf:rwkv7_g1g_15b_hf:none texts=400/500 tokens=35719 bits_per_token=1.744997 elapsed_s=563.436
compression score hf:rwkv7_g1g_15b_hf:none texts=425/500 tokens=37433 bits_per_token=1.752399 elapsed_s=590.445
compression score hf:rwkv7_g1g_15b_hf:none texts=450/500 tokens=39442 bits_per_token=1.746009 elapsed_s=622.176
compression score hf:rwkv7_g1g_15b_hf:none texts=475/500 tokens=41663 bits_per_token=1.754621 elapsed_s=657.145
compression score hf:rwkv7_g1g_15b_hf:none texts=500/500 tokens=43865 bits_per_token=1.761919 elapsed_s=691.791
compression score hf:rwkv7_g1g_15b_hf:none texts=25/500 tokens=2717 bits_per_token=1.698152 elapsed_s=42.701
compression score hf:rwkv7_g1g_15b_hf:none texts=50/500 tokens=4276 bits_per_token=1.867337 elapsed_s=67.388
compression score hf:rwkv7_g1g_15b_hf:none texts=75/500 tokens=5849 bits_per_token=1.901413 elapsed_s=92.351
compression score hf:rwkv7_g1g_15b_hf:none texts=100/500 tokens=7844 bits_per_token=1.927106 elapsed_s=123.922
compression score hf:rwkv7_g1g_15b_hf:none texts=125/500 tokens=10381 bits_per_token=1.842470 elapsed_s=164.035
compression score hf:rwkv7_g1g_15b_hf:none texts=150/500 tokens=12043 bits_per_token=1.848035 elapsed_s=190.502
compression score hf:rwkv7_g1g_15b_hf:none texts=175/500 tokens=14957 bits_per_token=1.758004 elapsed_s=236.877
compression score hf:rwkv7_g1g_15b_hf:none texts=200/500 tokens=17249 bits_per_token=1.745040 elapsed_s=273.295
compression score hf:rwkv7_g1g_15b_hf:none texts=225/500 tokens=19948 bits_per_token=1.732553 elapsed_s=316.165
compression score hf:rwkv7_g1g_15b_hf:none texts=250/500 tokens=22033 bits_per_token=1.735640 elapsed_s=349.707
compression score hf:rwkv7_g1g_15b_hf:none texts=275/500 tokens=23981 bits_per_token=1.759268 elapsed_s=380.909
compression score hf:rwkv7_g1g_15b_hf:none texts=300/500 tokens=26572 bits_per_token=1.763039 elapsed_s=422.047
compression score hf:rwkv7_g1g_15b_hf:none texts=325/500 tokens=29313 bits_per_token=1.742072 elapsed_s=465.449
compression score hf:rwkv7_g1g_15b_hf:none texts=350/500 tokens=30827 bits_per_token=1.749294 elapsed_s=489.463
compression score hf:rwkv7_g1g_15b_hf:none texts=375/500 tokens=33164 bits_per_token=1.738617 elapsed_s=526.212
compression score hf:rwkv7_g1g_15b_hf:none texts=400/500 tokens=35719 bits_per_token=1.744997 elapsed_s=566.303
compression score hf:rwkv7_g1g_15b_hf:none texts=425/500 tokens=37433 bits_per_token=1.752399 elapsed_s=593.440
compression score hf:rwkv7_g1g_15b_hf:none texts=450/500 tokens=39442 bits_per_token=1.746009 elapsed_s=625.237
compression score hf:rwkv7_g1g_15b_hf:none texts=475/500 tokens=41663 bits_per_token=1.754621 elapsed_s=660.232
compression score hf:rwkv7_g1g_15b_hf:none texts=500/500 tokens=43865 bits_per_token=1.761919 elapsed_s=694.897
LOGIT_COMPRESSION_ALIGNMENT_RESULT {"reference_bits_per_token": 1.7619186590949771, "candidate_bits_per_token": 1.7619186590949771, "candidate_over_reference_bits_ratio": 1.0, "candidate_minus_reference_bits_per_token": 0.0, "tokens": 43865, "by_position": {"1": {"reference_bits_per_token": 4.7812275886535645, "candidate_bits_per_token": 4.7812275886535645, "candidate_over_reference_bits_ratio": 1.0, "tokens": 500}, "2-8": {"reference_bits_per_token": 3.6672789060776756, "candidate_bits_per_token": 3.6672789060776756, "candidate_over_reference_bits_ratio": 1.0, "tokens": 3500}, "9-16": {"reference_bits_per_token": 2.24899231603345, "candidate_bits_per_token": 2.24899231603345, "candidate_over_reference_bits_ratio": 1.0, "tokens": 4000}, "17-32": {"reference_bits_per_token": 1.82762571712611, "candidate_bits_per_token": 1.82762571712611, "candidate_over_reference_bits_ratio": 1.0, "tokens": 7953}, "33-64": {"reference_bits_per_token": 1.6210553581419849, "candidate_bits_per_token": 1.6210553581419849, "candidate_over_reference_bits_ratio": 1.0, "tokens": 11999}, "65-128": {"reference_bits_per_token": 1.3913508533980863, "candidate_bits_per_token": 1.3913508533980863, "candidate_over_reference_bits_ratio": 1.0, "tokens": 8608}, "129-256": {"reference_bits_per_token": 1.0503236993037393, "candidate_bits_per_token": 1.0503236993037393, "candidate_over_reference_bits_ratio": 1.0, "tokens": 4846}, "257-512": {"reference_bits_per_token": 0.8852895609628835, "candidate_bits_per_token": 0.8852895609628835, "candidate_over_reference_bits_ratio": 1.0, "tokens": 1737}, "513-1024": {"reference_bits_per_token": 0.6564926975170253, "candidate_bits_per_token": 0.6564926975170253, "candidate_over_reference_bits_ratio": 1.0, "tokens": 722}}, "worst_texts_by_ratio": [{"index": 0, "line_no": 1, "unique_id": "0", "tokens": 75, "reference_bits_per_token": 0.8957904052734375, "candidate_bits_per_token": 0.8957904052734375, "candidate_over_reference_bits_ratio": 1.0, "candidate_minus_reference_bits_per_token": 0.0, "subject": "", "level": ""}, {"index": 1, "line_no": 2, "unique_id": "1", "tokens": 119, "reference_bits_per_token": 1.3845446931213892, "candidate_bits_per_token": 1.3845446931213892, "candidate_over_reference_bits_ratio": 1.0, "candidate_minus_reference_bits_per_token": 0.0, "subject": "", "level": ""}, {"index": 2, "line_no": 3, "unique_id": "2", "tokens": 69, "reference_bits_per_token": 1.8634170311084692, "candidate_bits_per_token": 1.8634170311084692, "candidate_over_reference_bits_ratio": 1.0, "candidate_minus_reference_bits_per_token": 0.0, "subject": "", "level": ""}, {"index": 3, "line_no": 4, "unique_id": "3", "tokens": 29, "reference_bits_per_token": 3.124809002054149, "candidate_bits_per_token": 3.124809002054149, "candidate_over_reference_bits_ratio": 1.0, "candidate_minus_reference_bits_per_token": 0.0, "subject": "", "level": ""}, {"index": 4, "line_no": 5, "unique_id": "4", "tokens": 369, "reference_bits_per_token": 1.6513481657033366, "candidate_bits_per_token": 1.6513481657033366, "candidate_over_reference_bits_ratio": 1.0, "candidate_minus_reference_bits_per_token": 0.0, "subject": "", "level": ""}, {"index": 5, "line_no": 6, "unique_id": "5", "tokens": 55, "reference_bits_per_token": 1.8928645740855823, "candidate_bits_per_token": 1.8928645740855823, "candidate_over_reference_bits_ratio": 1.0, "candidate_minus_reference_bits_per_token": 0.0, "subject": "", "level": ""}, {"index": 6, "line_no": 7, "unique_id": "6", "tokens": 35, "reference_bits_per_token": 2.1217784336635046, "candidate_bits_per_token": 2.1217784336635046, "candidate_over_reference_bits_ratio": 1.0, "candidate_minus_reference_bits_per_token": 0.0, "subject": "", "level": ""}, {"index": 7, "line_no": 8, "unique_id": "7", "tokens": 87, "reference_bits_per_token": 1.8869237790162536, "candidate_bits_per_token": 1.8869237790162536, "candidate_over_reference_bits_ratio": 1.0, "candidate_minus_reference_bits_per_token": 0.0, "subject": "", "level": ""}, {"index": 8, "line_no": 9, "unique_id": "8", "tokens": 54, "reference_bits_per_token": 1.6607885007505063, "candidate_bits_per_token": 1.6607885007505063, "candidate_over_reference_bits_ratio": 1.0, "candidate_minus_reference_bits_per_token": 0.0, "subject": "", "level": ""}, {"index": 9, "line_no": 10, "unique_id": "9", "tokens": 150, "reference_bits_per_token": 2.40025634765625, "candidate_bits_per_token": 2.40025634765625, "candidate_over_reference_bits_ratio": 1.0, "candidate_minus_reference_bits_per_token": 0.0, "subject": "", "level": ""}, {"index": 10, "line_no": 11, "unique_id": "10", "tokens": 38, "reference_bits_per_token": 2.4547054893092106, "candidate_bits_per_token": 2.4547054893092106, "candidate_over_reference_bits_ratio": 1.0, "candidate_minus_reference_bits_per_token": 0.0, "subject": "", "level": ""}, {"index": 11, "line_no": 12, "unique_id": "11", "tokens": 77, "reference_bits_per_token": 1.7527235947646105, "candidate_bits_per_token": 1.7527235947646105, "candidate_over_reference_bits_ratio": 1.0, "candidate_minus_reference_bits_per_token": 0.0, "subject": "", "level": ""}, {"index": 12, "line_no": 13, "unique_id": "12", "tokens": 79, "reference_bits_per_token": 1.8174146821227255, "candidate_bits_per_token": 1.8174146821227255, "candidate_over_reference_bits_ratio": 1.0, "candidate_minus_reference_bits_per_token": 0.0, "subject": "", "level": ""}, {"index": 13, "line_no": 14, "unique_id": "13", "tokens": 201, "reference_bits_per_token": 1.7257851368159205, "candidate_bits_per_token": 1.7257851368159205, "candidate_over_reference_bits_ratio": 1.0, "candidate_minus_reference_bits_per_token": 0.0, "subject": "", "level": ""}, {"index": 14, "line_no": 15, "unique_id": "14", "tokens": 154, "reference_bits_per_token": 1.2288791606952618, "candidate_bits_per_token": 1.2288791606952618, "candidate_over_reference_bits_ratio": 1.0, "candidate_minus_reference_bits_per_token": 0.0, "subject": "", "level": ""}, {"index": 15, "line_no": 16, "unique_id": "15", "tokens": 213, "reference_bits_per_token": 1.5537659551056338, "candidate_bits_per_token": 1.5537659551056338, "candidate_over_reference_bits_ratio": 1.0, "candidate_minus_reference_bits_per_token": 0.0, "subject": "", "level": ""}, {"index": 16, "line_no": 17, "unique_id": "16", "tokens": 37, "reference_bits_per_token": 2.1539700482342696, "candidate_bits_per_token": 2.1539700482342696, "candidate_over_reference_bits_ratio": 1.0, "candidate_minus_reference_bits_per_token": 0.0, "subject": "", "level": ""}, {"index": 17, "line_no": 18, "unique_id": "17", "tokens": 261, "reference_bits_per_token": 0.29662875471443967, "candidate_bits_per_token": 0.29662875471443967, "candidate_over_reference_bits_ratio": 1.0, "candidate_minus_reference_bits_per_token": 0.0, "subject": "", "level": ""}, {"index": 18, "line_no": 19, "unique_id": "18", "tokens": 178, "reference_bits_per_token": 1.4478871206219277, "candidate_bits_per_token": 1.4478871206219277, "candidate_over_reference_bits_ratio": 1.0, "candidate_minus_reference_bits_per_token": 0.0, "subject": "", "level": ""}, {"index": 19, "line_no": 20, "unique_id": "19", "tokens": 60, "reference_bits_per_token": 1.4076951344807942, "candidate_bits_per_token": 1.4076951344807942, "candidate_over_reference_bits_ratio": 1.0, "candidate_minus_reference_bits_per_token": 0.0, "subject": "", "level": ""}]}
